Name,Date,Ressource
Adrian,2018/10/28,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Adrian
Beatriz,2018/11/06,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Beatriz
Carlos,2018/11/14,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Carlos
Diana,2018/11/24,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Diana
Etienne,2018/12/02,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Etienne
Flora,2018/12/12,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Flora
Deirdre,2018/12/14,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Deirdre
Gabriel,2019/01/28,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Gabriel
Helena,2019/01/30,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Helena
Erik,2019/02/07,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Erik
Isaias,2019/02/09,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Isaias
Julia,2019/02/18,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Julia
Kylian,2019/02/21,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Kyllian
Freya,2019/03/01,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Freya
Laura,2019/03/05,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Laura
Gareth,2019/03/11,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Gareth
Hannah,2019/05/25,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Hannah
Miguel,2019/06/05,https://fr.wikipedia.org/wiki/Saison_des_temp%C3%AAtes_hivernales_en_Europe_de_2018-2019#Temp%C3%AAte_Miguel
